NCT,PMID,title,match,protocol,biomarker,mutivariable,other
NCT04907266,34544675,External validation of Chronic Pancreatitis Prognosis Score (COPPS): A prospective cohort study.,1,,,,
NCT04893200,35529792,Role of radiomics in predicting lung cancer spread through air spaces in a heterogeneous dataset.,1,,,,
NCT04881383,35613775,Development and validation of a diabetes mellitus and prediabetes risk prediction function for case finding in primary care in Hong Kong: a cross-sectional study and a prospective study protocol paper.,0,1,,,
NCT04780373,34637082,"PaO2/FiO2 ratio forecasts COVID-19 patients' outcome regardless of age: a cross-sectional, monocentric study.",0,,1,,
NCT04756297,34237347,Lung Ultrasound for Prediction of Bronchopulmonary Dysplasia in Extreme Preterm Neonates: A Prospective Diagnostic Cohort Study.,1,,,,
NCT04713852,34258059,Validation of the Acute Physiology and Chronic Health Evaluation (APACHE) II and IV Score in COVID-19 Patients.,1,,,,
NCT04666662,34215317,The development and validation of a prognostic model to PREDICT Relapse of depression in adult patients in primary care: protocol for the PREDICTR study.,0,1,,,
NCT04657900,34728455,Predicting patient-level new-onset atrial fibrillation from population-based nationwide electronic health records: protocol of FIND-AF for developing a precision medicine prediction model using artificial intelligence.,0,1,,,
NCT04609163,34752491,A maChine and deep Learning Approach to predict pulmoNary hyperteNsIon in newbornS with congenital diaphragmatic Hernia (CLANNISH): Protocol for a retrospective study.,0,1,,,
NCT04490005,33980528,"Outcome Prognostication of Acute Brain Injury using the Neurological Pupil Index (ORANGE) study: protocol for a prospective, observational, multicentre, international cohort study.",0,1,,,
NCT04479150,33592888,Postoperative complications and mortality following emergency digestive surgery during the COVID-19 pandemic: A multicenter collaborative retrospective cohort study protocol (COVID-CIR).,0,1,,,
NCT04479150,34535796,Analysis of outcomes of emergency general and gastrointestinal surgery during the COVID-19 pandemic.,0,,,1,
NCT04463706,33400164,Predictors of mortality of COVID-19 in the general population and nursing homes.,1,,,,
NCT04463706,35143022,Modelling the risk of hospital admission of lab confirmed SARS-CoV-2-infected patients in primary care: a population-based study.,1,,,,
NCT04463706,35501359,Machine learning-based model for prediction of clinical deterioration in hospitalized patients by COVID 19.,1,,,,
NCT04448340,33550890,A Novel Machine Learning Algorithm Predicts Dementia With Lewy Bodies Versus Parkinson's Disease Dementia Based on Clinical and Neuropsychological Scores.,1,,,,
NCT04430400,31220387,Integrated Use of Conventional Chest Radiography Cannot Rule Out Acute Aortic Syndromes in Emergency Department Patients at Low Clinical Probability.,1,,,,
NCT04430400,29030346,Diagnostic Accuracy of the Aortic Dissection Detection Risk Score Plus D-Dimer for Acute Aortic Syndromes: The ADvISED Prospective Multicenter Study.,0,,1,,
NCT04357834,35613417,A Scalable Risk-Scoring System Based on Consumer-Grade Wearables for Inpatients With COVID-19: Statistical Analysis and Model Development.,1,,,,
NCT04355507,34184935,Study of Thoracic CT in COVID-19: The STOIC Project.,1,,,,
NCT04349787,33368056,Optical diagnosis of colorectal polyp images using a newly developed computer-aided diagnosis system (CADx) compared with intuitive optical diagnosis.,1,,,,
NCT04344327,33388386,Association of diabetes and outcomes in patients with COVID-19: Propensity score-matched analyses from a French retrospective cohort.,0,,,1,
NCT04321005,33888530,Swiss-wide multicentre evaluation and prediction of core outcomes in arthroscopic rotator cuff repair: protocol for the ARCR_Pred cohort study.,0,1,,,
NCT04285021,33495264,Prediction of disease severity in young children presenting with acute febrile illness in resource-limited settings: a protocol for a prospective observational study.,0,1,,,
NCT04261309,34535487,Characteristics of older adults with back pain associated with choice of first primary care provider: a cross-sectional analysis from the BACE-N cohort study.,0,,,,
NCT04258891,34756569,"Dynamic prediction of renal survival among deeply phenotyped kidney transplant recipients using artificial intelligence: an observational, international, multicohort study.",1,,,,
NCT04240652,33087340,"Artificial intelligence-enabled screening for diabetic retinopathy: a real-world, multicenter and prospective study.",1,,,,
NCT04240353,34462271,Remote-Management of COPD: Evaluating the Implementation of Digital Innovation to Enable Routine Care (RECEIVER): the protocol for a feasibility and service adoption observational cohort study.,0,1,,,
NCT04228614,34489309,Genomic temporal heterogeneity of circulating tumour DNA in unresectable metastatic colorectal cancer under first-line treatment.,0,,1,,
NCT04219228,34740929,"Prevalence, incidence, and risk factors for myopia among urban and rural children in southern China: protocol for a school-based cohort study.",0,1,,,
NCT04208971,34033803,Batch enrollment for an artificial intelligence-guided intervention to lower neurologic events in patients with undiagnosed atrial fibrillation: rationale and design of a digital clinical trial.,0,1,,,
NCT04208789,33765092,Development and performance of CUHAS-ROBUST application for pulmonary rifampicin-resistance tuberculosis screening in Indonesia.,1,,,,
NCT04196634,34061299,Comparison of self-reported and public registered absenteeism among people on long-term sick leave due to musculoskeletal disorders: criterion validity of the iMTA Productivity Cost Questionnaire.,0,,,,1
NCT04196634,32450820,Risk assessment for prolonged sickness absence due to musculoskeletal disorders: protocol for a prospective cohort study.,0,1,,,
NCT04169581,33420912,A deep learning framework for 18F-FDG PET imaging diagnosis in pediatric patients with temporal lobe epilepsy.,1,,,,
NCT04162574,32546136,The Binge Eating Genetics Initiative (BEGIN): study protocol.,0,1,,,
NCT04123509,33039403,Baveno VI criteria and spleen stiffness measurement rule out high-risk varices in virally suppressed HBV-related cirrhosis.,1,,,,
NCT04123509,33353741,Prospective validation of Baveno VI criteria in virally supressed HBV cirrhosis - more evidence is needed.,0,,,,1
NCT04108598,32988948,Prognostic factors for outcomes of idiopathic sudden sensorineural hearing loss: protocol for the SeaSHeL national prospective cohort study.,0,1,,,
NCT04092543,32849196,Prediction of Functional Outcome After Acute Ischemic Stroke: Comparison of the CT-DRAGON Score and a Reduced Features Set.,1,,,,
NCT04045639,33091585,Identification of undiagnosed atrial fibrillation patients using a machine learning risk prediction algorithm and diagnostic testing (PULsE-AI): Study protocol for a randomised controlled trial.,0,1,,,
NCT04037163,34023270,High-Risk Morphological and Physiological Coronary Disease Attributes as Outcome Markers After Medical Treatment and Revascularization.,0,,,1,
NCT04037163,33248965,CT Angiographic and Plaque Predictors of Functionally Significant Coronary Disease and Outcome Using Machine Learning.,1,,,,
NCT04023188,32348254,Detection of Atrial Fibrillation Using a Ring-Type Wearable Device (CardioTracker) and Deep Learning Analysis of Photoplethysmography Signals: Prospective Observational Proof-of-Concept Study.,1,,,,
NCT04012281,32703590,Role of Post-Stent Physiological Assessment in a Risk Prediction Model After Coronary Stent Implantation.,1,,,,
NCT04012281,32895005,Prognostic Impact of Residual Anatomic Disease Burden After Functionally Complete Revascularization.,0,,,1,
NCT04012281,34877828,Differential Prognostic Implications of Pre- and Post-Stent Fractional Flow Reserve in Patients Undergoing Percutaneous Coronary Intervention.,0,,,,1
NCT04003558,34233259,"Magnetic resonance imaging radiomics predicts preoperative axillary lymph node metastasis to support surgical decisions and is associated with tumor microenvironment in invasive breast cancer: A machine learning, multicenter study.",1,,,,
NCT03931083,33371015,Screening test accuracy to improve detection of precancerous lesions of the cervix in women living with HIV: a study protocol.,0,1,,,
NCT03925506,32200083,Factors That Affect Adequacy of Colon Cleansing for Colonoscopy in Hospitalized Patients.,1,,,,
NCT03905629,34185827,External validation of the Hospital Frailty Risk Score in France.,1,,,,
NCT03892551,32336486,Validation of the Clinical Frailty Scale for Prediction of Thirty-Day Mortality in the Emergency Department.,0,,,,1
NCT03883568,32723735,"Cohort profile: The Applied Public-Private Research enabling OsteoArthritis Clinical Headway (IMI-APPROACH) study: a 2-year, European, cohort study to describe, validate and predict phenotypes of osteoarthritis using clinical, imaging and biochemical markers.",0,1,,,
NCT03883568,33971982,Making the patient voice heard in a research consortium: experiences from an EU project (IMI-APPROACH).,0,,,,1
NCT03847285,31269923,Immune function as predictor of infectious complications and clinical outcome in patients undergoing solid organ transplantation (the ImmuneMo:SOT study): a prospective non-interventional observational trial.,0,1,,,
NCT03826407,31320356,Development of a point of care system for automated coma prognosis: a prospective cohort study protocol.,0,1,,,
NCT03805373,33521537,Relative validity and reliability of a diet risk score (DRS) for clinical practice.,1,,,,
NCT03782389,32462372,The Value of Preseason Screening for Injury Prediction: The Development and Internal Validation of a Multivariable Prognostic Model to Predict Indirect Muscle Injury Risk in Elite Football (Soccer) Players.,1,,,,
NCT03773939,33436012,"Incidence, prognostic factors, and outcomes of venous thromboembolism in critically ill patients: data from two prospective cohort studies.",0,,,1,
NCT03723317,32892294,The role of the comprehensive complication index for the prediction of survival after liver transplantation.,0,,,,1
NCT03694912,31963294,Gene Expression Analysis of Aggressive Clinical T1 Stage Clear Cell Renal Cell Carcinoma for Identifying Potential Diagnostic and Prognostic Biomarkers.,0,,1,,
NCT03694912,33823929,Association between visceral adiposity and DDX11 as a predictor of aggressiveness of small clear-cell renal-cell carcinoma: a prospective clinical trial.,0,,,1,
NCT03693378,34643612,"Abstracts of Papers Submitted to the 52nd Meeting of the American Pancreatic Association, November 3-6, 2021, Miami Beach, Florida.",1,,,,2
NCT03641872,32109631,Prevalence and Clinical Significance of Portal Vein Thrombosis in Patients With Cirrhosis and Acute Decompensation.,0,,,,1
NCT03641872,33419900,Cohort profile: a multicentre prospective validation cohort of the Chinese Acute-on-Chronic Liver Failure (CATCH-LIFE) study.,0,1,,,
NCT03641872,34412498,Lower platelet counts were associated with 90-day adverse outcomes in acute-on-chronic liver disease patients.,0,,,1,
NCT03641872,35037228,Prevalence and clinical significance of serum sodium variability in patients with acute-on-chronic liver diseases: a prospective multicenter study in China.,0,,1,,
NCT03635710,30617104,"Prevalence of nocturnal cough in asthma and its potential as a marker for asthma control (MAC) in combination with sleep quality: protocol of a smartphone-based, multicentre, longitudinal observational study with two stages.",0,1,,,
NCT03608709,34193084,Development of a multivariable prognostic PREdiction model for 1-year risk of FALLing in a cohort of community-dwelling older adults aged 75 years and above (PREFALL).,1,,,,
NCT03577405,32526633,Diagnostic accuracy of arterial and venous renal Doppler assessment for acute kidney injury in critically ill patients: A prospective study.,2,,,,
NCT03574025,32978195,NEUROlogical Prognosis After Cardiac Arrest in Kids (NEUROPACK) study: protocol for a prospective multicentre clinical prediction model derivation and validation study in children after cardiac arrest.,0,1,,,
NCT03511430,32418720,"SVEAT Score, a Potential New and Improved Tool for Acute Chest Pain Risk Stratification.",1,,,,
NCT03474341,30342494,Preoperative image-guided identification of response to neoadjuvant chemoradiotherapy in esophageal cancer (PRIDE): a multicenter observational study.,0,1,,,
NCT03474003,34620664,Application of the iBox prognostication system as a surrogate endpoint in the TRANSFORM randomised controlled trial: proof-of-concept study.,1,,,,2
NCT03474003,31530561,Prediction system for risk of allograft loss in patients receiving kidney transplants: international derivation and validation study.,1,,,,
NCT03451734,33716817,Optimizing and Individualizing the Pharmacological Treatment of First-Episode Schizophrenic Patients: Study Protocol for a Multicenter Clinical Trial.,0,1,,,
NCT03451734,32528286,Increased Appetite Plays a Key Role in Olanzapine-Induced Weight Gain in First-Episode Schizophrenia Patients.,0,,,,2
NCT03451734,33692676,The Association Between Metabolic Disturbance and Cognitive Impairments in Early-Stage Schizophrenia.,0,,,,2
NCT03451734,33716832,The Association Between Cognitive Deficits and Clinical Characteristic in First-Episode Drug Naïve Patients With Schizophrenia.,0,,,,2
NCT03439449,31969363,A prospective cohort study of self-reported computerised medical history taking for acute chest pain: protocol of the CLEOS-Chest Pain Danderyd Study (CLEOS-CPDS).,0,1,,,
NCT03439449,34570811,Computerized history-taking improves data quality for clinical decision-making-Comparison of EHR and computer-acquired history data in patients with chest pain.,0,,,,1
NCT03439449,33904821,Use of Self-Reported Computerized Medical History Taking for Acute Chest Pain in the Emergency Department - the Clinical Expert Operating System Chest Pain Danderyd Study (CLEOS-CPDS): Prospective Cohort Study.,0,,,,1
NCT03382223,32280086,A Prospective Longitudinal Study of Caregivers of Community Dwelling Persons with Severe Dementia (PISCES): Study Protocol.,0,1,,,
NCT03362138,30674442,Dermoscopy diagnosis of cancerous lesions utilizing dual deep learning algorithms via visual and audio (sonification) outputs: Laboratory and prospective observational studies.,1,,,,
NCT03362138,31101596,Skin cancer detection by deep learning and sound analysis algorithms: A prospective clinical study of an elementary dermoscope.,1,,,,
NCT03352648,29550015,CarDiac MagnEtic Resonance for Primary Prevention Implantable CardioVerter DebrillAtor ThErapy international registry: Design and rationale of the DERIVATE study.,0,1,,,
NCT03352648,33792661,CarDiac magnEtic Resonance for prophylactic Implantable-cardioVerter defibrillAtor ThErapy in Non-Ischaemic dilated CardioMyopathy: an international Registry.,1,,,,
NCT03330769,29991631,Clinical and ultrasonographic predictors for achieving minimal disease activity in patients with psoriatic arthritis: the UPSTREAM (Ultrasound in PSoriatic arthritis TREAtMent) prospective observational study protocol.,0,1,,,
NCT03299010,30327405,Ten-year risk prediction models of complications and mortality of Chinese patients with diabetes mellitus in primary care in Hong Kong: a study protocol.,0,1,,,
NCT03299010,33879090,Generative adversarial networks for imputing missing data for big data clinical research.,0,,,,1
NCT03253432,34617591,Strategies for screening for familial hypercholesterolaemia in primary care and other community settings.,0,,,,1
NCT03248557,29885765,Early prognostic value of an Algorithm based on spectral Variables of Ventricular fibrillAtion from the EKG of patients with suddEn cardiac death: A multicentre observational study (AWAKE).,0,1,,,
NCT03247049,31879838,Risk of Long-Term Mortality for Complex Chronic Patients with Intracerebral Hemorrhage: A Population-Based e-Cohort Observational Study.,1,,,,2
NCT03247049,33546615,Complex chronic patients as an emergent group with high risk of intracerebral haemorrhage: an observational cohort study.,0,,,1,
NCT03150680,34103005,The GEnetic Syntax Score: a genetic risk assessment implementation tool grading the complexity of coronary artery disease-rationale and design of the GESS study.,0,1,,,
NCT03150680,35118145,A Risk-Stratification Machine Learning Framework for the Prediction of Coronary Artery Disease Severity: Insights From the GESS Trial.,1,,,,
NCT03110887,30819913,Dynamic prediction of bleeding risk in thrombocytopenic preterm neonates.,1,,,,
NCT03080623,33889025,Machine Learning Models to Improve the Differentiation Between Benign and Malignant Breast Lesions on Ultrasound: A Multicenter External Validation Study.,1,,,,
NCT03054142,33407184,Is acute kidney injury age-dependent in older adults: an observational study in two centers from North China.,0,,,,1
NCT02992587,32929483,One-year mortality increases four-fold in frail patients undergoing cardiac surgery.,1,,,,
NCT02992587,33724366,Comprehensive assessment of frailty score supplements the existing cardiac surgical risk scores.,1,,,,
NCT02992587,31304801,30-day mortality in frail patients undergoing cardiac surgery: the results of the frailty in cardiac surgery (FICS) copenhagen study.,1,,,,
NCT02992067,31659631,A Prospective Validation Cohort Study of a Prediction Model on Non-sentinel Lymph Node Involvement in Early Breast Cancer.,1,,,,
NCT02955485,30021553,A risk assessment model for chronic ankle instability: indications for early surgical treatment? An observational prospective cohort - study protocol.,0,1,,,
NCT02912624,31912438,Feasibility of cardiac output measurements in critically ill patients by medical students.,0,,,,1
NCT02912624,31011425,Disagreement in cardiac output measurements between fourth-generation FloTrac and critical care ultrasonography in patients with circulatory shock: a prospective observational study.,0,,,,1
NCT02912624,31670697,A Bayesian Network Analysis of the Diagnostic Process and Its Accuracy to Determine How Clinicians Estimate Cardiac Function in Critically Ill Patients: Prospective Observational Cohort Study.,0,,,,1
NCT02912624,28963297,"Clinical examination, critical care ultrasonography and outcomes in the critically ill: cohort profile of the Simple Intensive Care Studies-I.",0,1,,,
NCT02912624,31931844,Should the ultrasound probe replace your stethoscope? A SICS-I sub-study comparing lung ultrasound and pulmonary auscultation in the critically ill.,0,,,,1
NCT02904577,31292118,Early progression as a predictor of survival in marginal zone lymphomas: an analysis from the FIL-NF10 study.,0,,1,,
NCT02898415,28989060,Metroticket 2.0 Model for Analysis of Competing Risks of Death After Liver Transplantation for Hepatocellular Carcinoma.,1,,,,
NCT02863211,29101147,"Protocol for the HAPPY Hearts study: cardiovascular screening for the early detection of future adverse cardiovascular outcomes in middle-aged and older women: a prospective, observational cohort study.",0,1,,,2
NCT02833259,33177142,Development of a risk prediction model of potentially avoidable readmission for patients hospitalised with community-acquired pneumonia: study protocol and population.,0,1,,,
NCT02832102,34738049,Clinical Validity of a Prognostic Gene Expression Cluster-Based Model in Human Papillomavirus-Positive Oropharyngeal Carcinoma.,1,,,,
NCT02805621,31422141,Influence of Coronary Calcium on Diagnostic Performance of Machine Learning CT-FFR: Results From MACHINE Registry.,1,,,,2
NCT02803086,33639190,Acute patient-reported intestinal toxicity in whole pelvis IMRT for prostate cancer: Bowel dose-volume effect quantification in a multicentric cohort study.,1,,,,
NCT02803086,34209562,Predictors of Patient-Reported Incontinence at Adjuvant/Salvage Radiotherapy after Prostatectomy: Impact of Time between Surgery and Radiotherapy.,1,,,1,
NCT02646943,30383777,Beneficial effects of benznidazole in Chagas disease: NIH SaMi-Trop cohort study.,0,,,,1
NCT02646943,32459812,Factors associated with quality of life in patients with Chagas disease: SaMi-Trop project.,0,,,,1
NCT02646943,27147390,Longitudinal study of patients with chronic Chagas cardiomyopathy in Brazil (SaMi-Trop project): a cohort profile.,0,,,,1
NCT02618538,29166878,The ANDROMEDA prospective cohort study: predictive value of combined criteria to tailor breast cancer screening and new opportunities from circulating markers: study protocol.,0,1,,,
NCT02592135,31288565,TACIT (High Sensitivity Troponin T Rules Out Acute Cardiac Insufficiency Trial).,0,,1,,
NCT02581540,32518208,Identification of high-risk non-ST elevation myocardial infarction at presentation to emergency department. A prospective observational cohort study in North West England.,0,,,1,
NCT02573532,29203498,"Perioperative Myocardial Injury After Noncardiac Surgery: Incidence, Mortality, and Characterization.",0,,,,1
NCT02573532,30541757,Daytime variation of perioperative myocardial injury in non-cardiac surgery and effect on outcome.,0,,,,1
NCT02573532,33059838,Etiology of Peri-Operative Myocardial Infarction/Injury After Noncardiac Surgery and Associated Outcome.,0,,,,1
NCT02573532,33081973,Association between self-reported functional capacity and major adverse cardiac events in patients at elevated risk undergoing noncardiac surgery: a prospective diagnostic cohort study.,2,,,,
NCT02573532,33620378,Incidence of major adverse cardiac events following non-cardiac surgery.,0,,,,1
